IN-born	STATE_OR_PROVINCE	MISC	1
IN-area	STATE_OR_PROVINCE	MISC	1
IN-registered	STATE_OR_PROVINCE	MISC	1
IA-headquartered	STATE_OR_PROVINCE	MISC	1
IA-owned	STATE_OR_PROVINCE	MISC	1
IA-controlled	STATE_OR_PROVINCE	MISC	1
IA-raised	STATE_OR_PROVINCE	MISC	1
IA-educated	STATE_OR_PROVINCE	MISC	1
IA-backed	STATE_OR_PROVINCE	MISC	1
IA-trained	STATE_OR_PROVINCE	MISC	1
IA-born	STATE_OR_PROVINCE	MISC	1
IA-area	STATE_OR_PROVINCE	MISC	1
IA-registered	STATE_OR_PROVINCE	MISC	1
KS-headquartered	STATE_OR_PROVINCE	MISC	1
KS-owned	STATE_OR_PROVINCE	MISC	1
KS-controlled	STATE_OR_PROVINCE	MISC	1
KS-raised	STATE_OR_PROVINCE	MISC	1
KS-educated	STATE_OR_PROVINCE	MISC	1
KS-backed	STATE_OR_PROVINCE	MISC	1
KS-trained	STATE_OR_PROVINCE	MISC	1
KS-born	STATE_OR_PROVINCE	MISC	1
KS-area	STATE_OR_PROVINCE	MISC	1
KS-registered	STATE_OR_PROVINCE	MISC	1
KY-headquartered	STATE_OR_PROVINCE	MISC	1
KY-owned	STATE_OR_PROVINCE	MISC	1
KY-controlled	STATE_OR_PROVINCE	MISC	1
KY-raised	STATE_OR_PROVINCE	MISC	1
KY-educated	STATE_OR_PROVINCE	MISC	1
KY-backed	STATE_OR_PROVINCE	MISC	1
KY-trained	STATE_OR_PROVINCE	MISC	1
KY-born	STATE_OR_PROVINCE	MISC	1
KY-area	STATE_OR_PROVINCE	MISC	1
KY-registered	STATE_OR_PROVINCE	MISC	1
LA-headquartered	STATE_OR_PROVINCE	MISC	1
LA-owned	STATE_OR_PROVINCE	MISC	1
LA-controlled	STATE_OR_PROVINCE	MISC	1
LA-raised	STATE_OR_PROVINCE	MISC	1
LA-educated	STATE_OR_PROVINCE	MISC	1
LA-backed	STATE_OR_PROVINCE	MISC	1
LA-trained	STATE_OR_PROVINCE	MISC	1
LA-born	STATE_OR_PROVINCE	MISC	1
LA-area	STATE_OR_PROVINCE	MISC	1
LA-registered	STATE_OR_PROVINCE	MISC	1
ME-headquartered	STATE_OR_PROVINCE	MISC	1
ME-owned	STATE_OR_PROVINCE	MISC	1
ME-controlled	STATE_OR_PROVINCE	MISC	1
ME-raised	STATE_OR_PROVINCE	MISC	1
ME-educated	STATE_OR_PROVINCE	MISC	1
ME-backed	STATE_OR_PROVINCE	MISC	1
ME-trained	STATE_OR_PROVINCE	MISC	1
ME-born	STATE_OR_PROVINCE	MISC	1
ME-area	STATE_OR_PROVINCE	MISC	1
ME-registered	STATE_OR_PROVINCE	MISC	1
MD-headquartered	STATE_OR_PROVINCE	MISC	1
MD-owned	STATE_OR_PROVINCE	MISC	1
MD-controlled	STATE_OR_PROVINCE	MISC	1
MD-raised	STATE_OR_PROVINCE	MISC	1
MD-educated	STATE_OR_PROVINCE	MISC	1
MD-backed	STATE_OR_PROVINCE	MISC	1
MD-trained	STATE_OR_PROVINCE	MISC	1
MD-born	STATE_OR_PROVINCE	MISC	1
MD-area	STATE_OR_PROVINCE	MISC	1
MD-registered	STATE_OR_PROVINCE	MISC	1
MA-headquartered	STATE_OR_PROVINCE	MISC	1
MA-owned	STATE_OR_PROVINCE	MISC	1
MA-controlled	STATE_OR_PROVINCE	MISC	1
MA-raised	STATE_OR_PROVINCE	MISC	1
MA-educated	STATE_OR_PROVINCE	MISC	1
MA-backed	STATE_OR_PROVINCE	MISC	1
MA-trained	STATE_OR_PROVINCE	MISC	1
MA-born	STATE_OR_PROVINCE	MISC	1
MA-area	STATE_OR_PROVINCE	MISC	1
MA-registered	STATE_OR_PROVINCE	MISC	1
MI-headquartered	STATE_OR_PROVINCE	MISC	1
MI-owned	STATE_OR_PROVINCE	MISC	1
MI-controlled	STATE_OR_PROVINCE	MISC	1
MI-raised	STATE_OR_PROVINCE	MISC	1
MI-educated	STATE_OR_PROVINCE	MISC	1
MI-backed	STATE_OR_PROVINCE	MISC	1
MI-trained	STATE_OR_PROVINCE	MISC	1
MI-born	STATE_OR_PROVINCE	MISC	1
MI-area	STATE_OR_PROVINCE	MISC	1
MI-registered	STATE_OR_PROVINCE	MISC	1
MN-headquartered	STATE_OR_PROVINCE	MISC	1
MN-owned	STATE_OR_PROVINCE	MISC	1
MN-controlled	STATE_OR_PROVINCE	MISC	1
MN-raised	STATE_OR_PROVINCE	MISC	1
MN-educated	STATE_OR_PROVINCE	MISC	1
MN-backed	STATE_OR_PROVINCE	MISC	1
MN-trained	STATE_OR_PROVINCE	MISC	1
MN-born	STATE_OR_PROVINCE	MISC	1
MN-area	STATE_OR_PROVINCE	MISC	1
MN-registered	STATE_OR_PROVINCE	MISC	1
MS-headquartered	STATE_OR_PROVINCE	MISC	1
MS-owned	STATE_OR_PROVINCE	MISC	1
MS-controlled	STATE_OR_PROVINCE	MISC	1
MS-raised	STATE_OR_PROVINCE	MISC	1
MS-educated	STATE_OR_PROVINCE	MISC	1
MS-backed	STATE_OR_PROVINCE	MISC	1
MS-trained	STATE_OR_PROVINCE	MISC	1
MS-born	STATE_OR_PROVINCE	MISC	1
MS-area	STATE_OR_PROVINCE	MISC	1
MS-registered	STATE_OR_PROVINCE	MISC	1
MO-headquartered	STATE_OR_PROVINCE	MISC	1
MO-owned	STATE_OR_PROVINCE	MISC	1
MO-controlled	STATE_OR_PROVINCE	MISC	1
MO-raised	STATE_OR_PROVINCE	MISC	1
MO-educated	STATE_OR_PROVINCE	MISC	1
MO-backed	STATE_OR_PROVINCE	MISC	1
MO-trained	STATE_OR_PROVINCE	MISC	1
MO-born	STATE_OR_PROVINCE	MISC	1
MO-area	STATE_OR_PROVINCE	MISC	1
MO-registered	STATE_OR_PROVINCE	MISC	1
MT-headquartered	STATE_OR_PROVINCE	MISC	1
MT-owned	STATE_OR_PROVINCE	MISC	1
MT-controlled	STATE_OR_PROVINCE	MISC	1
MT-raised	STATE_OR_PROVINCE	MISC	1
MT-educated	STATE_OR_PROVINCE	MISC	1
MT-backed	STATE_OR_PROVINCE	MISC	1
MT-trained	STATE_OR_PROVINCE	MISC	1
MT-born	STATE_OR_PROVINCE	MISC	1
MT-area	STATE_OR_PROVINCE	MISC	1
MT-registered	STATE_OR_PROVINCE	MISC	1
NE-headquartered	STATE_OR_PROVINCE	MISC	1
NE-owned	STATE_OR_PROVINCE	MISC	1
NE-controlled	STATE_OR_PROVINCE	MISC	1
NE-raised	STATE_OR_PROVINCE	MISC	1
NE-educated	STATE_OR_PROVINCE	MISC	1
NE-backed	STATE_OR_PROVINCE	MISC	1
NE-trained	STATE_OR_PROVINCE	MISC	1
NE-born	STATE_OR_PROVINCE	MISC	1
NE-area	STATE_OR_PROVINCE	MISC	1
NE-registered	STATE_OR_PROVINCE	MISC	1
NV-headquartered	STATE_OR_PROVINCE	MISC	1
NV-owned	STATE_OR_PROVINCE	MISC	1
NV-controlled	STATE_OR_PROVINCE	MISC	1
NV-raised	STATE_OR_PROVINCE	MISC	1
NV-educated	STATE_OR_PROVINCE	MISC	1
NV-backed	STATE_OR_PROVINCE	MISC	1
NV-trained	STATE_OR_PROVINCE	MISC	1
NV-born	STATE_OR_PROVINCE	MISC	1
NV-area	STATE_OR_PROVINCE	MISC	1
NV-registered	STATE_OR_PROVINCE	MISC	1
NH-headquartered	STATE_OR_PROVINCE	MISC	1
NH-owned	STATE_OR_PROVINCE	MISC	1
NH-controlled	STATE_OR_PROVINCE	MISC	1
NH-raised	STATE_OR_PROVINCE	MISC	1
NH-educated	STATE_OR_PROVINCE	MISC	1
NH-backed	STATE_OR_PROVINCE	MISC	1
NH-trained	STATE_OR_PROVINCE	MISC	1
NH-born	STATE_OR_PROVINCE	MISC	1
NH-area	STATE_OR_PROVINCE	MISC	1
NH-registered	STATE_OR_PROVINCE	MISC	1
NJ-headquartered	STATE_OR_PROVINCE	MISC	1
NJ-owned	STATE_OR_PROVINCE	MISC	1
NJ-controlled	STATE_OR_PROVINCE	MISC	1
NJ-raised	STATE_OR_PROVINCE	MISC	1
NJ-educated	STATE_OR_PROVINCE	MISC	1
NJ-backed	STATE_OR_PROVINCE	MISC	1
NJ-trained	STATE_OR_PROVINCE	MISC	1
NJ-born	STATE_OR_PROVINCE	MISC	1
NJ-area	STATE_OR_PROVINCE	MISC	1
NJ-registered	STATE_OR_PROVINCE	MISC	1
NM-headquartered	STATE_OR_PROVINCE	MISC	1
NM-owned	STATE_OR_PROVINCE	MISC	1
NM-controlled	STATE_OR_PROVINCE	MISC	1
NM-raised	STATE_OR_PROVINCE	MISC	1
NM-educated	STATE_OR_PROVINCE	MISC	1
NM-backed	STATE_OR_PROVINCE	MISC	1
NM-trained	STATE_OR_PROVINCE	MISC	1
NM-born	STATE_OR_PROVINCE	MISC	1
NM-area	STATE_OR_PROVINCE	MISC	1
NM-registered	STATE_OR_PROVINCE	MISC	1
NY-headquartered	STATE_OR_PROVINCE	MISC	1
NY-owned	STATE_OR_PROVINCE	MISC	1
NY-controlled	STATE_OR_PROVINCE	MISC	1
NY-raised	STATE_OR_PROVINCE	MISC	1
NY-educated	STATE_OR_PROVINCE	MISC	1
NY-backed	STATE_OR_PROVINCE	MISC	1
NY-trained	STATE_OR_PROVINCE	MISC	1
NY-born	STATE_OR_PROVINCE	MISC	1
NY-area	STATE_OR_PROVINCE	MISC	1
NY-registered	STATE_OR_PROVINCE	MISC	1
NC-headquartered	STATE_OR_PROVINCE	MISC	1
NC-owned	STATE_OR_PROVINCE	MISC	1
NC-controlled	STATE_OR_PROVINCE	MISC	1
NC-raised	STATE_OR_PROVINCE	MISC	1
NC-educated	STATE_OR_PROVINCE	MISC	1
NC-backed	STATE_OR_PROVINCE	MISC	1
NC-trained	STATE_OR_PROVINCE	MISC	1
NC-born	STATE_OR_PROVINCE	MISC	1
NC-area	STATE_OR_PROVINCE	MISC	1
NC-registered	STATE_OR_PROVINCE	MISC	1
ND-headquartered	STATE_OR_PROVINCE	MISC	1
ND-owned	STATE_OR_PROVINCE	MISC	1
ND-controlled	STATE_OR_PROVINCE	MISC	1
ND-raised	STATE_OR_PROVINCE	MISC	1
ND-educated	STATE_OR_PROVINCE	MISC	1
ND-backed	STATE_OR_PROVINCE	MISC	1
ND-trained	STATE_OR_PROVINCE	MISC	1
ND-born	STATE_OR_PROVINCE	MISC	1
ND-area	STATE_OR_PROVINCE	MISC	1
ND-registered	STATE_OR_PROVINCE	MISC	1
OH-headquartered	STATE_OR_PROVINCE	MISC	1
OH-owned	STATE_OR_PROVINCE	MISC	1
OH-controlled	STATE_OR_PROVINCE	MISC	1
OH-raised	STATE_OR_PROVINCE	MISC	1
OH-educated	STATE_OR_PROVINCE	MISC	1
OH-backed	STATE_OR_PROVINCE	MISC	1
OH-trained	STATE_OR_PROVINCE	MISC	1
OH-born	STATE_OR_PROVINCE	MISC	1
OH-area	STATE_OR_PROVINCE	MISC	1
OH-registered	STATE_OR_PROVINCE	MISC	1
OK-headquartered	STATE_OR_PROVINCE	MISC	1
OK-owned	STATE_OR_PROVINCE	MISC	1
OK-controlled	STATE_OR_PROVINCE	MISC	1
OK-raised	STATE_OR_PROVINCE	MISC	1
OK-educated	STATE_OR_PROVINCE	MISC	1
OK-backed	STATE_OR_PROVINCE	MISC	1
OK-trained	STATE_OR_PROVINCE	MISC	1
OK-born	STATE_OR_PROVINCE	MISC	1
OK-area	STATE_OR_PROVINCE	MISC	1
OK-registered	STATE_OR_PROVINCE	MISC	1
OR-headquartered	STATE_OR_PROVINCE	MISC	1
OR-owned	STATE_OR_PROVINCE	MISC	1
OR-controlled	STATE_OR_PROVINCE	MISC	1
OR-raised	STATE_OR_PROVINCE	MISC	1
OR-educated	STATE_OR_PROVINCE	MISC	1
OR-backed	STATE_OR_PROVINCE	MISC	1
OR-trained	STATE_OR_PROVINCE	MISC	1
OR-born	STATE_OR_PROVINCE	MISC	1
OR-area	STATE_OR_PROVINCE	MISC	1
OR-registered	STATE_OR_PROVINCE	MISC	1
PA-headquartered	STATE_OR_PROVINCE	MISC	1
PA-owned	STATE_OR_PROVINCE	MISC	1
PA-controlled	STATE_OR_PROVINCE	MISC	1
PA-raised	STATE_OR_PROVINCE	MISC	1
PA-educated	STATE_OR_PROVINCE	MISC	1
PA-backed	STATE_OR_PROVINCE	MISC	1
PA-trained	STATE_OR_PROVINCE	MISC	1
PA-born	STATE_OR_PROVINCE	MISC	1
PA-area	STATE_OR_PROVINCE	MISC	1
PA-registered	STATE_OR_PROVINCE	MISC	1
PR-headquartered	STATE_OR_PROVINCE	MISC	1
PR-owned	STATE_OR_PROVINCE	MISC	1
PR-controlled	STATE_OR_PROVINCE	MISC	1
PR-raised	STATE_OR_PROVINCE	MISC	1
PR-educated	STATE_OR_PROVINCE	MISC	1
PR-backed	STATE_OR_PROVINCE	MISC	1
PR-trained	STATE_OR_PROVINCE	MISC	1
PR-born	STATE_OR_PROVINCE	MISC	1
PR-area	STATE_OR_PROVINCE	MISC	1
PR-registered	STATE_OR_PROVINCE	MISC	1
RI-headquartered	STATE_OR_PROVINCE	MISC	1
RI-owned	STATE_OR_PROVINCE	MISC	1
RI-controlled	STATE_OR_PROVINCE	MISC	1
RI-raised	STATE_OR_PROVINCE	MISC	1
RI-educated	STATE_OR_PROVINCE	MISC	1
RI-backed	STATE_OR_PROVINCE	MISC	1
RI-trained	STATE_OR_PROVINCE	MISC	1
RI-born	STATE_OR_PROVINCE	MISC	1
RI-area	STATE_OR_PROVINCE	MISC	1
RI-registered	STATE_OR_PROVINCE	MISC	1
SC-headquartered	STATE_OR_PROVINCE	MISC	1
SC-owned	STATE_OR_PROVINCE	MISC	1
SC-controlled	STATE_OR_PROVINCE	MISC	1
SC-raised	STATE_OR_PROVINCE	MISC	1
SC-educated	STATE_OR_PROVINCE	MISC	1
SC-backed	STATE_OR_PROVINCE	MISC	1
SC-trained	STATE_OR_PROVINCE	MISC	1
SC-born	STATE_OR_PROVINCE	MISC	1
SC-area	STATE_OR_PROVINCE	MISC	1
SC-registered	STATE_OR_PROVINCE	MISC	1
SD-headquartered	STATE_OR_PROVINCE	MISC	1
SD-owned	STATE_OR_PROVINCE	MISC	1
SD-controlled	STATE_OR_PROVINCE	MISC	1
SD-raised	STATE_OR_PROVINCE	MISC	1
SD-educated	STATE_OR_PROVINCE	MISC	1
SD-backed	STATE_OR_PROVINCE	MISC	1
SD-trained	STATE_OR_PROVINCE	MISC	1
SD-born	STATE_OR_PROVINCE	MISC	1
SD-area	STATE_OR_PROVINCE	MISC	1
SD-registered	STATE_OR_PROVINCE	MISC	1
TN-headquartered	STATE_OR_PROVINCE	MISC	1
TN-owned	STATE_OR_PROVINCE	MISC	1
TN-controlled	STATE_OR_PROVINCE	MISC	1
TN-raised	STATE_OR_PROVINCE	MISC	1
TN-educated	STATE_OR_PROVINCE	MISC	1
TN-backed	STATE_OR_PROVINCE	MISC	1
TN-trained	STATE_OR_PROVINCE	MISC	1
TN-born	STATE_OR_PROVINCE	MISC	1
TN-area	STATE_OR_PROVINCE	MISC	1
TN-registered	STATE_OR_PROVINCE	MISC	1
TX-headquartered	STATE_OR_PROVINCE	MISC	1
TX-owned	STATE_OR_PROVINCE	MISC	1
TX-controlled	STATE_OR_PROVINCE	MISC	1
TX-raised	STATE_OR_PROVINCE	MISC	1
TX-educated	STATE_OR_PROVINCE	MISC	1
TX-backed	STATE_OR_PROVINCE	MISC	1
TX-trained	STATE_OR_PROVINCE	MISC	1
TX-born	STATE_OR_PROVINCE	MISC	1
TX-area	STATE_OR_PROVINCE	MISC	1
TX-registered	STATE_OR_PROVINCE	MISC	1
UT-headquartered	STATE_OR_PROVINCE	MISC	1
UT-owned	STATE_OR_PROVINCE	MISC	1
UT-controlled	STATE_OR_PROVINCE	MISC	1
UT-raised	STATE_OR_PROVINCE	MISC	1
UT-educated	STATE_OR_PROVINCE	MISC	1
UT-backed	STATE_OR_PROVINCE	MISC	1
UT-trained	STATE_OR_PROVINCE	MISC	1
UT-born	STATE_OR_PROVINCE	MISC	1
UT-area	STATE_OR_PROVINCE	MISC	1
UT-registered	STATE_OR_PROVINCE	MISC	1
VT-headquartered	STATE_OR_PROVINCE	MISC	1
VT-owned	STATE_OR_PROVINCE	MISC	1
VT-controlled	STATE_OR_PROVINCE	MISC	1
VT-raised	STATE_OR_PROVINCE	MISC	1
VT-educated	STATE_OR_PROVINCE	MISC	1
VT-backed	STATE_OR_PROVINCE	MISC	1
VT-trained	STATE_OR_PROVINCE	MISC	1
VT-born	STATE_OR_PROVINCE	MISC	1
VT-area	STATE_OR_PROVINCE	MISC	1
VT-registered	STATE_OR_PROVINCE	MISC	1
VI-headquartered	STATE_OR_PROVINCE	MISC	1
VI-owned	STATE_OR_PROVINCE	MISC	1
VI-controlled	STATE_OR_PROVINCE	MISC	1
VI-raised	STATE_OR_PROVINCE	MISC	1
VI-educated	STATE_OR_PROVINCE	MISC	1
VI-backed	STATE_OR_PROVINCE	MISC	1
VI-trained	STATE_OR_PROVINCE	MISC	1
VI-born	STATE_OR_PROVINCE	MISC	1
VI-area	STATE_OR_PROVINCE	MISC	1
VI-registered	STATE_OR_PROVINCE	MISC	1
VA-headquartered	STATE_OR_PROVINCE	MISC	1
VA-owned	STATE_OR_PROVINCE	MISC	1
VA-controlled	STATE_OR_PROVINCE	MISC	1
VA-raised	STATE_OR_PROVINCE	MISC	1
VA-educated	STATE_OR_PROVINCE	MISC	1
VA-backed	STATE_OR_PROVINCE	MISC	1
VA-trained	STATE_OR_PROVINCE	MISC	1
VA-born	STATE_OR_PROVINCE	MISC	1
VA-area	STATE_OR_PROVINCE	MISC	1
VA-registered	STATE_OR_PROVINCE	MISC	1
WA-headquartered	STATE_OR_PROVINCE	MISC	1
WA-owned	STATE_OR_PROVINCE	MISC	1
WA-controlled	STATE_OR_PROVINCE	MISC	1
WA-raised	STATE_OR_PROVINCE	MISC	1
WA-educated	STATE_OR_PROVINCE	MISC	1
WA-backed	STATE_OR_PROVINCE	MISC	1
WA-trained	STATE_OR_PROVINCE	MISC	1
WA-born	STATE_OR_PROVINCE	MISC	1
WA-area	STATE_OR_PROVINCE	MISC	1
WA-registered	STATE_OR_PROVINCE	MISC	1
WV-headquartered	STATE_OR_PROVINCE	MISC	1
WV-owned	STATE_OR_PROVINCE	MISC	1
WV-controlled	STATE_OR_PROVINCE	MISC	1
WV-raised	STATE_OR_PROVINCE	MISC	1
WV-educated	STATE_OR_PROVINCE	MISC	1
WV-backed	STATE_OR_PROVINCE	MISC	1
WV-trained	STATE_OR_PROVINCE	MISC	1
WV-born	STATE_OR_PROVINCE	MISC	1
WV-area	STATE_OR_PROVINCE	MISC	1
WV-registered	STATE_OR_PROVINCE	MISC	1
WI-headquartered	STATE_OR_PROVINCE	MISC	1
WI-owned	STATE_OR_PROVINCE	MISC	1
WI-controlled	STATE_OR_PROVINCE	MISC	1
WI-raised	STATE_OR_PROVINCE	MISC	1
WI-educated	STATE_OR_PROVINCE	MISC	1
WI-backed	STATE_OR_PROVINCE	MISC	1
WI-trained	STATE_OR_PROVINCE	MISC	1
WI-born	STATE_OR_PROVINCE	MISC	1
WI-area	STATE_OR_PROVINCE	MISC	1
WI-registered	STATE_OR_PROVINCE	MISC	1
WY-headquartered	STATE_OR_PROVINCE	MISC	1
WY-owned	STATE_OR_PROVINCE	MISC	1
WY-controlled	STATE_OR_PROVINCE	MISC	1
WY-raised	STATE_OR_PROVINCE	MISC	1
WY-educated	STATE_OR_PROVINCE	MISC	1
WY-backed	STATE_OR_PROVINCE	MISC	1
WY-trained	STATE_OR_PROVINCE	MISC	1
WY-born	STATE_OR_PROVINCE	MISC	1
WY-area	STATE_OR_PROVINCE	MISC	1
WY-registered	STATE_OR_PROVINCE	MISC	1
AB-headquartered	STATE_OR_PROVINCE	MISC	1
AB-owned	STATE_OR_PROVINCE	MISC	1
AB-controlled	STATE_OR_PROVINCE	MISC	1
AB-raised	STATE_OR_PROVINCE	MISC	1
AB-educated	STATE_OR_PROVINCE	MISC	1
AB-backed	STATE_OR_PROVINCE	MISC	1
AB-trained	STATE_OR_PROVINCE	MISC	1
AB-born	STATE_OR_PROVINCE	MISC	1
AB-area	STATE_OR_PROVINCE	MISC	1
AB-registered	STATE_OR_PROVINCE	MISC	1
BC-headquartered	STATE_OR_PROVINCE	MISC	1
BC-owned	STATE_OR_PROVINCE	MISC	1
BC-controlled	STATE_OR_PROVINCE	MISC	1
BC-raised	STATE_OR_PROVINCE	MISC	1
BC-educated	STATE_OR_PROVINCE	MISC	1
BC-backed	STATE_OR_PROVINCE	MISC	1
BC-trained	STATE_OR_PROVINCE	MISC	1
BC-born	STATE_OR_PROVINCE	MISC	1
BC-area	STATE_OR_PROVINCE	MISC	1
BC-registered	STATE_OR_PROVINCE	MISC	1
MB-headquartered	STATE_OR_PROVINCE	MISC	1
MB-owned	STATE_OR_PROVINCE	MISC	1
MB-controlled	STATE_OR_PROVINCE	MISC	1
MB-raised	STATE_OR_PROVINCE	MISC	1
MB-educated	STATE_OR_PROVINCE	MISC	1
MB-backed	STATE_OR_PROVINCE	MISC	1
MB-trained	STATE_OR_PROVINCE	MISC	1
MB-born	STATE_OR_PROVINCE	MISC	1
MB-area	STATE_OR_PROVINCE	MISC	1
MB-registered	STATE_OR_PROVINCE	MISC	1
NB-headquartered	STATE_OR_PROVINCE	MISC	1
NB-owned	STATE_OR_PROVINCE	MISC	1
NB-controlled	STATE_OR_PROVINCE	MISC	1
NB-raised	STATE_OR_PROVINCE	MISC	1
NB-educated	STATE_OR_PROVINCE	MISC	1
NB-backed	STATE_OR_PROVINCE	MISC	1
NB-trained	STATE_OR_PROVINCE	MISC	1
NB-born	STATE_OR_PROVINCE	MISC	1
NB-area	STATE_OR_PROVINCE	MISC	1
NB-registered	STATE_OR_PROVINCE	MISC	1
NL-headquartered	STATE_OR_PROVINCE	MISC	1
NL-owned	STATE_OR_PROVINCE	MISC	1
NL-controlled	STATE_OR_PROVINCE	MISC	1
NL-raised	STATE_OR_PROVINCE	MISC	1
NL-educated	STATE_OR_PROVINCE	MISC	1
NL-backed	STATE_OR_PROVINCE	MISC	1
NL-trained	STATE_OR_PROVINCE	MISC	1
NL-born	STATE_OR_PROVINCE	MISC	1
NL-area	STATE_OR_PROVINCE	MISC	1
NL-registered	STATE_OR_PROVINCE	MISC	1
NT-headquartered	STATE_OR_PROVINCE	MISC	1
NT-owned	STATE_OR_PROVINCE	MISC	1
NT-controlled	STATE_OR_PROVINCE	MISC	1
NT-raised	STATE_OR_PROVINCE	MISC	1
NT-educated	STATE_OR_PROVINCE	MISC	1
NT-backed	STATE_OR_PROVINCE	MISC	1
NT-trained	STATE_OR_PROVINCE	MISC	1
NT-born	STATE_OR_PROVINCE	MISC	1
NT-area	STATE_OR_PROVINCE	MISC	1
NT-registered	STATE_OR_PROVINCE	MISC	1
NS-headquartered	STATE_OR_PROVINCE	MISC	1
NS-owned	STATE_OR_PROVINCE	MISC	1
NS-controlled	STATE_OR_PROVINCE	MISC	1
NS-raised	STATE_OR_PROVINCE	MISC	1
NS-educated	STATE_OR_PROVINCE	MISC	1
NS-backed	STATE_OR_PROVINCE	MISC	1
NS-trained	STATE_OR_PROVINCE	MISC	1
NS-born	STATE_OR_PROVINCE	MISC	1
NS-area	STATE_OR_PROVINCE	MISC	1
NS-registered	STATE_OR_PROVINCE	MISC	1
NU-headquartered	STATE_OR_PROVINCE	MISC	1
NU-owned	STATE_OR_PROVINCE	MISC	1
NU-controlled	STATE_OR_PROVINCE	MISC	1
NU-raised	STATE_OR_PROVINCE	MISC	1
NU-educated	STATE_OR_PROVINCE	MISC	1
NU-backed	STATE_OR_PROVINCE	MISC	1
NU-trained	STATE_OR_PROVINCE	MISC	1
NU-born	STATE_OR_PROVINCE	MISC	1
NU-area	STATE_OR_PROVINCE	MISC	1
NU-registered	STATE_OR_PROVINCE	MISC	1
ON-headquartered	STATE_OR_PROVINCE	MISC	1
ON-owned	STATE_OR_PROVINCE	MISC	1
ON-controlled	STATE_OR_PROVINCE	MISC	1
ON-raised	STATE_OR_PROVINCE	MISC	1
ON-educated	STATE_OR_PROVINCE	MISC	1
ON-backed	STATE_OR_PROVINCE	MISC	1
ON-trained	STATE_OR_PROVINCE	MISC	1
ON-born	STATE_OR_PROVINCE	MISC	1
ON-area	STATE_OR_PROVINCE	MISC	1
ON-registered	STATE_OR_PROVINCE	MISC	1
PE-headquartered	STATE_OR_PROVINCE	MISC	1
PE-owned	STATE_OR_PROVINCE	MISC	1
PE-controlled	STATE_OR_PROVINCE	MISC	1
PE-raised	STATE_OR_PROVINCE	MISC	1
PE-educated	STATE_OR_PROVINCE	MISC	1
PE-backed	STATE_OR_PROVINCE	MISC	1
PE-trained	STATE_OR_PROVINCE	MISC	1
PE-born	STATE_OR_PROVINCE	MISC	1
PE-area	STATE_OR_PROVINCE	MISC	1
PE-registered	STATE_OR_PROVINCE	MISC	1
QC-headquartered	STATE_OR_PROVINCE	MISC	1
QC-owned	STATE_OR_PROVINCE	MISC	1
QC-controlled	STATE_OR_PROVINCE	MISC	1
QC-raised	STATE_OR_PROVINCE	MISC	1
QC-educated	STATE_OR_PROVINCE	MISC	1
QC-backed	STATE_OR_PROVINCE	MISC	1
QC-trained	STATE_OR_PROVINCE	MISC	1
QC-born	STATE_OR_PROVINCE	MISC	1
QC-area	STATE_OR_PROVINCE	MISC	1
QC-registered	STATE_OR_PROVINCE	MISC	1
SK-headquartered	STATE_OR_PROVINCE	MISC	1
SK-owned	STATE_OR_PROVINCE	MISC	1
SK-controlled	STATE_OR_PROVINCE	MISC	1
SK-raised	STATE_OR_PROVINCE	MISC	1
SK-educated	STATE_OR_PROVINCE	MISC	1
SK-backed	STATE_OR_PROVINCE	MISC	1
SK-trained	STATE_OR_PROVINCE	MISC	1
SK-born	STATE_OR_PROVINCE	MISC	1
SK-area	STATE_OR_PROVINCE	MISC	1
SK-registered	STATE_OR_PROVINCE	MISC	1
YT-headquartered	STATE_OR_PROVINCE	MISC	1
YT-owned	STATE_OR_PROVINCE	MISC	1
YT-controlled	STATE_OR_PROVINCE	MISC	1
YT-raised	STATE_OR_PROVINCE	MISC	1
YT-educated	STATE_OR_PROVINCE	MISC	1
YT-backed	STATE_OR_PROVINCE	MISC	1
YT-trained	STATE_OR_PROVINCE	MISC	1
YT-born	STATE_OR_PROVINCE	MISC	1
YT-area	STATE_OR_PROVINCE	MISC	1
YT-registered	STATE_OR_PROVINCE	MISC	1
Ala\.?-headquartered	STATE_OR_PROVINCE	MISC	1
Ala\.?-owned	STATE_OR_PROVINCE	MISC	1
Ala\.?-controlled	STATE_OR_PROVINCE	MISC	1
Ala\.?-raised	STATE_OR_PROVINCE	MISC	1
Ala\.?-educated	STATE_OR_PROVINCE	MISC	1
Ala\.?-backed	STATE_OR_PROVINCE	MISC	1
Ala\.?-trained	STATE_OR_PROVINCE	MISC	1
Ala\.?-born	STATE_OR_PROVINCE	MISC	1
Ala\.?-area	STATE_OR_PROVINCE	MISC	1
Ala\.?-registered	STATE_OR_PROVINCE	MISC	1
Alaska-headquartered	STATE_OR_PROVINCE	MISC	1
Alaska-owned	STATE_OR_PROVINCE	MISC	1
Alaska-controlled	STATE_OR_PROVINCE	MISC	1
Alaska-raised	STATE_OR_PROVINCE	MISC	1
Alaska-educated	STATE_OR_PROVINCE	MISC	1
Alaska-backed	STATE_OR_PROVINCE	MISC	1
Alaska-trained	STATE_OR_PROVINCE	MISC	1
Alaska-born	STATE_OR_PROVINCE	MISC	1
Alaska-area	STATE_OR_PROVINCE	MISC	1
Alaska-registered	STATE_OR_PROVINCE	MISC	1
